author,comment,published_at,clean_comment
@YangsopyanSopyan,Pemimpin ponpes harus bertanggung jawab jangan lepas tangan... bilang gak tau gak tau ...,2 months ago,pimpin ponpes tanggung jawab jangan lepas tangan bilang gak tau gak tau
@Alex_bond.06,"Pelajaran buat semua pesantren kalo bangun gedung itu tdk hanya mengandalkan doa, tapi perlu perhitungan konstruksi ! 🙏",2 months ago,ajar buat semua pesantren kalo bangun gedung tdk andal doa perlu hitung konstruksi
@Farid01-q5q,😮ya Allah lindungi semua santri dan seluruh nya beri keselamatan aamiin..,2 months ago,allah lindung semua santri seluruh nya beri selamat aamiin
@selametriyadi7933,Enak' aja ngomong takdir dari Allah' anda Harus bertanggung jawab ya' dengan siapa bangunan itu yg mengerjakan6 . jangann pilih murah Nya biaya pembangunan kalau gak aman gini .ZHarus dipertanggung jawabkan,2 months ago,enak ngomong takdir allah tanggung jawab siapa bangun kerja jangann pilih murah nya biaya bangun kalau gak aman gin zharus tanggung jawab
@mucharraranal5807,Ya Allah Ringankan anak anak yg tak berdosa.,2 months ago,allah ringan anak anak tak dosa
@ninasafanah-tr9jr,"Innalillahi wainna ilaihi rojiun,selamatkan mereka ya allah,kuatkan keluarga korban,semoga semua selama😭😭😭",2 months ago,innalillahi wainna ilaihi rojiunselamatkan allahkuatkan keluarga korbansemoga semua lama
@AminRasyid-fd7rc,"Kedepan bangunan pondok wajib pake arsitektur, bukan asal2an",2 months ago,depan bangun pondok wajib pake arsitektur bukan asal
@krisna1284,"Meskipun ini takdir dari Allah, tapi tetap harus ada yang bertanggung jawab & harus ada tersangkanya.",2 months ago,meski takdir allah tetap tanggung jawab sangka
@ras..7798,"Mohon maaf, ini pasti ada resiko yg hrs dipertanggungjawabkan oleh Kontraktor yg membangun bangunan baru ini. Kalopun yg membangun bukan kontraktor tentu pemilik Ponpes yg bertanggungjawab secara keseluruhan. Dan ini pasti pihak kepolisian akan mengambil tindakan.",2 months ago,mohon maaf resiko hrs dipertanggungjawabkan kontraktor bangun bangun baru kalo bangun bukan kontraktor milik ponpes bertanggungjawab seluruh pihak polisi ambil tindak
@MelanieSAM-p4h,Ya Alloh berilah kesabaran keluarga yg dapat musibah ini korbanpun segera diketemukan ammin,2 months ago,alloh ilah sabar keluarga musibah korban segera ketemu ammin
@ariari1664,"""semuanya memang takdir dari Allah"".....duh enak bgt omongan pak Kyai. gak ada pertanggungjawabannya sama sekali. Ini hrs ada yg bertanggung jawab secara hukum, jgn lepas tangan dengan mengatasnamakan Allah, Depag berani gak membekukan ijin pesantren ini? aku yakin gak berani",2 months ago,semua memang takdir allahduh enak bgt omong pak kyai gak pertanggungjawabannya sama sekali hrs tanggung jawab hukum jgn lepas tangan mengatasnamakan allah depag berani gak beku ijin pesantren aku yakin gak berani
@ARohandiSaepudin,"Inalilahi wainailaihi rojiun,semoga Allah SWT memberi ketabahan pada keluarga yang mendapat musibah ini, dan menjadi pelajaran bagi kita semua,,",1 month ago,inalilahi wainailaihi rojiunsemoga allah swt beri tabah keluarga dapat musibah jadi ajar semua
@parihatun5746,"Klu lg perbaikan atau dibangun mending diliburkan
, smoga kluarga tabah sabar dengan musibah ini 
Surga tempat anak anak yg meninggal aamiin",2 months ago,klu lg baik bangun mending libur smoga kluarga tabah sabar musibah surga tempat anak anak tinggal aamiin
@dadysupriadi3288,Pelajaran buat semua... Ketika proses pembangunan sdg berjalan.. Hendaknya tidak d gunskan untuk beraktifitas... Dan d tutup sementara... Proses pembangunan,2 months ago,ajar buat semua proses bangun sdg jalan hendak d gunskan beraktifitas d tutup proses bangun
@Ali-u5z7n,Ya Allah kami turut berdukacita semoga yang kena musibah di beri kesabaran dan keselamatan 😢,2 months ago,allah turut dukacita moga kena musibah beri sabar selamat
@daneila5232,"Keruntuhan dalam dunia kontruksi tidak ada kata TAKDIR pak Kyai,, semua ada hitung2an nya yg bisa dipertanggung jawabkan. Kecuali runtuh sebab gempa bumi maka bisa dibilang Takdir.",2 months ago,runtuh dunia kontruksi kata takdir pak kyai semua hitung nya tanggung jawab runtuh gempa bumi bilang takdir
@achmadsyafii2710,"Semoga ada penyelidikan lebih lanjut tentang proses pembangunannya, apalagi disampaikan tadi ada santri yang sedang sholat saat kejadian itu terjadi.",2 months ago,moga lidi lebih lanjut proses bangun sampai tadi santri sedang sholat jadi jadi
@HendroImam-l4e,"Innalillahi wa innailaihi rojiun 
Semoga saudara kita yg meninggal Husnul Khotimah dan keluarga yang ditinggalkan diberikan ketabahan,kesabaran dan kekuatan.Aamiin🤲",2 months ago,innalillahi wa innailaihi rojiun moga saudara tinggal husnul khotimah keluarga tinggal beri ketabahankesabaran kekuatanaamiin
@UsupUsup-m9w,"Situasi seperti itu kok masih ada yg cengengesan...kita yg g ada hubungan langsung aja rasanya sedih ikut nangis...
Iklas dan sabar yaa..buat para santri dan orang tuanya❤❤❤❤",2 months ago,situasi cengengesankita g hubung langsung rasa sedih ikut nang iklas sabar yaabuat santri orang tua
@evelinetheodora7831,"Tuhan selamatkan anak2 dan semua yang dibawah reruntuhan. Semoga para petugas bisa bekerja dengan maksimal. Para pihak yg bertanggung jawab atas kecelakaan ini harus dituntut dan mendapat hukuman setimpal!
semoga para korban yg terluka boleh sembuh dan pulih. Tuhan memberkati",2 months ago (edited),tuhan selamat anak semua bawah runtuh moga tugas kerja maksimal pihak tanggung jawab atas celaka tuntut dapat hukum timpal moga korban luka sembuh pulih tuhan kati
@dickynovianto2333,Terus apa tanggung jawab ponpes terhadap keluarga korban?,2 months ago,terus apa tanggung jawab ponpes keluarga korban
@riskabudiarti1494,"Ngga semua pesantren bangunannya ngga kokoh. Ada kok pesantren2 yg pimpinannya jg insyiyur,jdi aman2 gedungnya wlw lantai 3,krna dibuatnya sudah sesuai standar bhkn aman dri gempa jg ada kok",2 months ago,ngga semua pesantren bangun ngga kokoh pesantren pimpin jg insyiyurjdi aman gedung wlw lantai krna buat sesuai standar bhkn aman dri gempa jg
@setiabudi-cf4bz,Kiai dl vs kiai sekarang,2 months ago,kiai dl vs kiai sekarang
@MuissakirSakir,"Bikin bangunan besar seperti itu modalnya ratusan juta, masa asal-asalan.🙏",2 months ago,bikin bangun besar modal ratus juta masa asalasalan
@darmansyahgani3849,Itulah.klu ustad  berpikir bisa menjadi ahli.konsteuksi. lain ilmu.lah pak.ustad...jgn kw korbankan anak anak.santri..yg tidak tw.apa apa,2 months ago,itulahklu ustad pikir jadi ahlikonsteuksi ilmu pakustadjgn kw korban anak anaksantriyg twapa apa
@sutamipandhe499,"Memang takdir, tap, akibatada sebab😮",2 months ago,memang takdir tap akibatada
@asdhanet2664,"Ayo !!, berlomba lombalah mendirikan bangunan yang asal asalan, agar makin banyak jamaah yang mati syahid. inilah takdir tuhan !",2 months ago,ayo lomba lomba diri bangun asal asal makin banyak jamaah mati syahid ini takdir tuhan
@supinahpin9932,Pengelola nya mau cari untung banyak tidak memperhatikan keselamatan para santri.,2 months ago,kelola nya mau cari untung banyak perhati selamat santri
@qiublox062,Sudah takdir broo.. jng berisik..,2 months ago,takdir broo jng berisik
